BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
131141028235,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА "" НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - "" УКРУПНЕННАЯ КАЗАЛИНСКАЯ ДИСТАНЦИЯ ПУТИ""",52211,Эксплуатация железных дорог,434430100,п. Айтеке Би,310,Крупная организация (501 - 1000 чел.)
131241002097,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""УКРУПНЕННАЯ КЫЗЫЛОРДИНСКАЯ ДИСТАНЦИЯ ПУТИ""",52211,Эксплуатация железных дорог,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
140640021292,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КАРМАКШИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА С АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЙ УСЛУГОЙ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,434630100,с. ЖОСАЛЫ,310,Крупная организация (501 - 1000 чел.)
140840001094,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПАРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЖАЛАГАШСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА С АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЙ УСЛУГОЙ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,433630100,с. ЖАЛАГАШ,310,Крупная организация (501 - 1000 чел.)
920740000859,"ТОО СПФ ""МОНТАЖСПЕЦСТРОЙ""",41202,Строительство нежилых зданий,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
940140000147,"АО ""АРАЛТУЗ""",08930,Добыча соли,433237100,с. ЖАКСЫКЫЛЫШ,310,Крупная компания (501 - 1000 чел.)
940240000021,"ТОО СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""КАЗГЕРМУНАЙ""",06100,Добыча сырой нефти и попутного газа,431047100,п. ТАСБУГЕТ,310,Крупная компания (501 - 1000 чел.)
941040001055,"ТОО СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""КУАТАМЛОНМУНАЙ""",06100,Добыча сырой нефти и попутного газа,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
950840000065,"АО ""ТУРГАЙ-ПЕТРОЛЕУМ""",06100,Добыча сырой нефти и попутного газа,431010000,г. Кызылорда,310,Крупная компания (501 - 1000 чел.)
991141006530,"КЫЗЫЛОРДИНСКИЙ ОБЛАСТНОЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗПОЧТА""",53100,Почтовые услуги в соответствии с обязательствами по предоставлению услуг в зоне всеобщего охвата,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
991240002046,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 2019 ПОГРАНИЧНОЙ СЛУЖБЫ КОМИТЕТА НАЦИОНАЛЬНОЙ БЕЗОПАСНОСТИ РЕСПУБЛИКИ КАЗАХСТАН""",84220,Оборонная деятельность,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
БИН,Название предприятия,ОКЭД,Отрасль деятельности,КАТО,Населённый пункт,КРП,Размер предприятия / компании
000141003746,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""ЖЕЛЕЗНОДОРОЖНЫЕ ГОСПИТАЛИ МЕДИЦИНЫ КАТАСТРОФ"" - ""КЫЗЫЛОРДИНСКАЯ ЖЕЛЕЗНОДОРОЖНАЯ БОЛЬНИЦА""",86101,Деятельность больниц широкого профиля и специализированных больниц,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
000240002042,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ОБЛАСТНОЙ НАРКОЛОГИЧЕСКИЙ ЦЕНТР"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
