BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
950140000832,"Государственное Учреждение ""МИНИСТЕРСТВО ИНОСТРАННЫХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84210,Международная деятельность,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
970540000107,"АО ""КАЗТРАНСОЙЛ""",49500,Транспортирование по трубопроводу,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
970740000392,"АО ""ИНТЕРГАЗ ЦЕНТРАЛЬНАЯ АЗИЯ""",49500,Транспортирование по трубопроводу,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
970740000838,"АО ""КАЗАХСТАНСКАЯ КОМПАНИЯ ПО УПРАВЛЕНИЮ ЭЛЕКТРИЧЕСКИМИ СЕТЯМИ"" (КAZAKHSTAN ELECTRICITY GRID OPERATING COMPANY) ""KEGOC""",35120,Передача электроэнергии,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
970740001013,"Республиканское Государственное Казенное Предприятие ""ГОСУДАРСТВЕННЫЙ ЦЕНТР ПО ВЫПЛАТЕ ПЕНСИЙ МИНИСТЕРСТВА ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН""",65301,Государственное пенсионное обеспечение,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
980340000151,"Республиканское Государственное предприятие на праве хозяйственного ведения ""ИНФОРМАЦИОННО-ВЫЧИСЛИТЕЛЬНЫЙ ЦЕНТР АГЕНТСТВА РЕСПУБЛИКИ КАЗАХСТАН ПО СТАТИСТИКЕ""",63110,Услуги по размещению и переработке данных и другие услуги,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
980540000397,"ТОО ""КАР-ТЕЛ""",61200,Беспроводная телекоммуникационная связь,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
980941003430,"Филиал АО ""ВОЕНИЗИРОВАННАЯ ЖЕЛЕЗНОДОРОЖНАЯ ОХРАНА"" В ГОРОДЕ АСТАНА",80200,Деятельность в области систем охраны,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
990240007197,"ОБЩЕСТВЕННОЕ ОБЪЕДИНЕНИЕ ""НАРОДНО-ДЕМОКРАТИЧЕСКАЯ ПАРТИЯ ""НУР ОТАН""",94920,Деятельность политических организаций,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
990540002276,"Республиканское Государственное предприятие на праве хозяйственного ведения ""КАЗГИДРОМЕТ"" МИНИСТЕРСТВА ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ РЕСПУБЛИКИ КАЗАХСТАН",74901,Деятельность гидрометеорологической службы,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
990840000825,"АО ""КЕДЕНТРАНССЕРВИС""",52291,Транспортно-экспедиционные услуги,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
991140001226,"АО ""ТРАНСТЕЛЕКОМ""",61200,Беспроводная телекоммуникационная связь,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
