BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
061040014002,"ТОО ""ТРАНСРудныйАВТО""",49410,Грузовые перевозки автомобильным транспортом,392410000,г. Рудный,305,Крупное предприятие (251 - 500 чел.)
061140003992,"ТОО ""РЯЖСКОЕ""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",396630100,с. УЗУНКОЛЬ,305,Крупное предприятие (251 - 500 чел.)
061240004835,"ТОО ""КВАРД LTD""",47191,Прочая розничная торговля в неспециализированных магазинах,391010000,г. Костанай,305,Крупное предприятие (251 - 500 чел.)
070341002649,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ""-""Костанайская ДИСТАНЦИЯ СИГНАЛИЗАЦИИ И СВЯЗИ""",52211,Эксплуатация железных дорог,391010000,г. Костанай,305,Крупное предприятие (251 - 500 чел.)
070540000664,"ТОО ""ЗАВОД КАЗОГНЕУПОР""",23200,Производство огнеупорных изделий,392410000,г. Рудный,305,Крупное предприятие (251 - 500 чел.)
070740003587,"ТОО ""ОПЫТНОЕ ХОЗЯЙСТВО ""ЗАРЕЧНОЕ""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",395431100,ЗАРЕЧНОЕ с.,305,Крупное предприятие (251 - 500 чел.)
070840002502,"ТОО ""Карабалыкская СЕЛЬСКОХОЗЯЙСТВЕННАЯ ОПЫТНАЯ СТАНЦИЯ""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",395033200,с. НАУЧНОЕ,305,Крупное предприятие (251 - 500 чел.)
080140017785,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""Костанайский ОБЛАСТНОЙ ЦЕНТР САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОЙ ЭКСПЕРТИЗЫ"" КОМИТЕТА ГОСУДАРСТВЕННОГО САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОГО НАДЗОРА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",71201,Деятельность санитарно-эпидемиологических учреждений,391010000,г. Костанай,305,Крупное предприятие (251 - 500 чел.)
080540007871,"ТОО ""СЕРВИС-2008""",56290,Прочие виды организации питания,392410000,г. Рудный,305,Крупное предприятие (251 - 500 чел.)
080640000615,"ТОО ""АГРОИНТЕРПТИЦА""",01472,Производство яиц,391610000,г. Аркалык,305,Крупная компания (251 - 500 чел.)
090340000620,"ТОО ""МЕХЛИТКОМ""",24520,Литье стали,394420100,г. Житикара,305,Крупная компания (251 - 500 чел.)
090640011865,"ТОО ""БАТАЛИНСКОЕ""",01500,Смешанное сельское хозяйство,394033100,с. ЖАЛТЫРКОЛЬ,305,Крупная компания (251 - 500 чел.)
090640011934,"ТОО ""КРЫМСКОЕ""",01500,Смешанное сельское хозяйство,394047100,с. КРЫМСКОЕ,305,Крупная компания (251 - 500 чел.)
090740015405,"ТОО ""ФАРМАКОМ"" ИМПЭКС""",47731,Розничная торговля фармацевтическими товарами в специализированных магазинах,391010000,г. Костанай,305,Крупная компания (251 - 500 чел.)
100340015831,"ТОО ""Аркалыкская СЕЛЬСКОХОЗЯЙСТВЕННАЯ ОПЫТНАЯ СТАНЦИЯ""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",391643100,с. АШУТАСТЫ,305,Крупное предприятие (251 - 500 чел.)
121041002177,"Костанайский ФИЛИАЛ РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР ЗЕМЕЛЬНОГО КАДАСТРА"" КОМИТЕТА ПО УПРАВЛЕНИЮ ЗЕМЕЛЬНЫМИ РЕСУРСАМИ МИНИСТЕРСТВА РЕГИОНАЛЬНОГО РАЗВИТИЯ РЕСПУБЛИКИ КАЗАХСТАН",71124,Землеустройство,391010000,г. Костанай,305,Крупное предприятие (251 - 500 чел.)
140741017657,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""УКРУПНЕННАЯ Костанайская ДИСТАНЦИЯ ПУТИ""",70100,Деятельность головных компаний,391010000,г. Костанай,305,Крупная компания (251 - 500 чел.)
141140001229,"РЕСПУБЛИКАНСКОЕ ГОС. УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ГОСУДАРСТВЕННЫХ ДОХОДОВ ПО Костанайской области КОМИТЕТА ГОСУДАРСТВЕННЫХ ДОХОДОВ МИНИСТЕРСТВА ФИНАНСОВ РЕСПУБЛИКИ КАЗАХСТАН""",84115,"Деятельность, связанная с налогообложением",391010000,г. Костанай,305,Крупные предприятия
610640000018,"КОММУНАЛЬНОЕ ГОС. УЧРЕЖДЕНИЕ ""Костанайский ДЕТСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ДОМ-ИНТЕРНАТ"" УПРАВЛЕНИЯ КООРДИНАЦИИ ЗАНЯТОСТИ И СОЦИАЛЬНЫХ ПРОГРАММ АКИМАТА Костанайской области",87200,"Деятельность, связанная с проживанием для лиц с умственными и физическими недостатками, психиатрическими заболеваниями и наркологическими расстройствами",391010000,г. Костанай,305,Крупное предприятие (251 - 500 чел.)
660640000017,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ТАРАНОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА Костанайской области",86101,Деятельность больниц широкого профиля и специализированных больниц,396430100,с. Тарановское,305,Крупное предприятие (251 - 500 чел.)
