BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
040741010361,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАВТОТРАНС"" В ГОРОДЕ КОКШЕТАУ",49410,Грузовые перевозки автомобильным транспортом,111010000,"Акмолинская область, г. КОКШЕТАУ",130,Малое предприятие (от 21 до 30 чел.)
040741011290,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАВТОТРАНС В ГОРОДЕ ТУРКЕСТАН""",49410,Грузовые перевозки автомобильным транспортом,512610000,"Южно-Казахстанская область, г. ТУРКЕСТАН",115,Малое предприятие (от 11 до 15 чел.)
040741011637,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАВТОТРАНС"" В Г СЕРГЕЕВКА",49410,Грузовые перевозки автомобильным транспортом,595620100,"Северо-Казахстанская область, г. СЕРГЕЕВКА",110,Малое предприятие (6 - 10 чел.)
040741013445,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАВТОТРАНС"" В п. КИЕВКА",49410,Грузовые перевозки автомобильным транспортом,355230100,Карагандинская область п. КИЕВКА,110,Малое предприятие (6 - 10 чел.)
040741021476,"ФИЛИАЛ № 1 АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАВТОТРАНС"" В Г АСТАНА",49410,Грузовые перевозки автомобильным транспортом,711110000,"г.Астана, РАЙОН ""АЛМАТЫ""",105,Малое предприятие (от 0 до 5 чел.)
040741021486,"ФИЛИАЛ № 2 АО ""КАЗАВТОТРАНС"" В Г АСТАНА",49410,Грузовые перевозки автомобильным транспортом,711110000,"г.Астана, РАЙОН ""АЛМАТЫ""",120,Малое предприятие (от 11 до 20 чел.)
040741023899,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАВТОТРАНС"" В ГОРОДЕ СЕМИПАЛАТИНСКЕ",49410,Грузовые перевозки автомобильным транспортом,632810000,"Восточно-Казахстанская область, г. СЕМЕЙ",110,Малое предприятие (6 - 10 чел.)
060641022553,"ФИЛИАЛ ФИРМЫ ""EUROCOM LOGISTICS & TRADE GMBH"" (""ЕВРОКОМ ЛОГИСТИКС ЭНД ТРЕЙД ГМБХ"") В ГОРОДЕ КАРАГАНДЕ",49410,Грузовые перевозки автомобильным транспортом,351013100,Карагандинская область РАЙОН ИМ.КАЗЫБЕК БИ,105,Малое предприятие (от 0 до 5 чел.)
100541003701,"КАЗАХСТАНСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""AFAR CO""",49410,Грузовые перевозки автомобильным транспортом,231010000,"Атырауская область, г. АТЫРАУ",105,Малое предприятие (от 0 до 5 чел.)
100941016847,"АЛМАТИНСКИЙ ФИЛИАЛ ТОО ""ВОСТОКАВТОТРАНС""",49410,Грузовые перевозки автомобильным транспортом,751710000,"г.Алматы, МЕДЕУСКИЙ РАЙОН",105,Малое предприятие (от 0 до 5 чел.)
111141001676,"ФИЛИАЛ ООО ""ТРАНСПОРТНО-ЭКСПЕДИЦИОННАЯ КОМПАНИЯ РУСГЛОБАЛ""",49410,Грузовые перевозки автомобильным транспортом,751110000,"г.Алматы, АЛМАЛИНСКИЙ РАЙОН",105,Малое предприятие (от 0 до 5 чел.)
120541019355,"ФИЛИАЛ ООО ""RTSB""",49410,Грузовые перевозки автомобильным транспортом,391010000,"Костанайская область, г. КОСТАНАЙ",105,Малое предприятие (от 0 до 5 чел.)
130141020772,"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНС-СЕРВИС"" В ГОРОДЕ ПАВЛОДАР",49410,Грузовые перевозки автомобильным транспортом,551010000,"Павлодарская область, г. ПАВЛОДАР",105,Малое предприятие (от 0 до 5 чел.)
130441032569,"ФИЛИАЛ ТОВАРИЩЕСТВО С ОРГАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САЯТ ТРАНС СЕРВИС""",49410,Грузовые перевозки автомобильным транспортом,435263100,Кызылординская область с. Ш.КОДАМАНОВА,140,Малое предприятие (от 31 до 40 чел.)
130441032589,"ФИЛИАЛ ТОО ""ТЕХНОБЕЛ"" В ГОРОДЕ АТЫРАУ",49410,Грузовые перевозки автомобильным транспортом,231010000,"Атырауская область, г. АТЫРАУ",105,Малое предприятие (от 0 до 5 чел.)
140141017774,"ФИЛИАЛ ТОО ""КТП-СЕРВИС"" В ГОРОДЕ АТЫРАУ",49410,Грузовые перевозки автомобильным транспортом,231010000,"Атырауская область, г. АТЫРАУ",110,Малое предприятие (6 - 10 чел.)
140341023171,"""САМЕГ"" ЕООД ФИЛИАЛ КАЗАХСТАН",49410,Грузовые перевозки автомобильным транспортом,511013100,Южно-Казахстанская область АЛЬ-ФАРАБИЙСКИЙ РАЙОН,110,Малое предприятие (6 - 10 чел.)
