BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
930340000648,"ТОО ""АНВАР""",47112,"Розничная торговля преимущественно продуктами питания, включая напитки и табачными изделиями, в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью более 2000 кв.м (2000 кв.м и выше)",151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
931240000052,"АО ""АКБУЛАК""",36000,"Сбор, обработка и распределение воды",151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
931240001060,"АО ""СНПС - АКТОБЕМУНАЙГАЗ""",06100,Добыча сырой нефти и попутного газа,151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
950640000404,"АО ""АКТЮБИНСКИЙ ЗАВОД ХРОМОВЫХ СОЕДИНЕНИЙ""",20120,Производство красителей и пигментов,151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
951040000069,"АО ""ТРАНСНАЦИОНАЛЬНАЯ КОМПАНИЯ ""КАЗХРОМ""",24100,"Производство чугуна, стали и ферросплавов",151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
960740001478,"ТОО ""РАМАЗАН""",10611,Производство муки,151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
970541000509,"АКТЮБИНСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ - Филиал АО ""КАЗАХТЕЛЕКОМ""",61900,Другие виды телекоммуникационных услуг,151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
990240007563,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЗАПАДНО-КАЗАХСТАНСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ИМЕНИ МАРАТА ОСПАНОВА"" С НАБЛЮДАТЕЛЬНЫМ СОВЕТОМ МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
990540000041,"АО ""КОКТАС-АКТОБЕ""",08121,Разработка гравийных и песчаных карьеров,151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
990540004410,"ТОО ""КАБИЕВ И К""",47112,"Розничная торговля преимущественно продуктами питания, включая напитки и табачными изделиями, в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью более 2000 кв.м (2000 кв.м и выше)",151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
991140004489,"ТОО КАЗАХСТАНСКО-КИТАЙСКАЯ БУРОВАЯ КОМПАНИЯ ""ВЕЛИКАЯ СТЕНА""",09100,Техническая поддержка при добыче нефти и природного газа,151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
