BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
980540001197,"ТОО ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""БАЗИС""",41201,Строительство жилых зданий,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
980540002879,"АО ""КСЕЛЛ""",61200,Беспроводная телекоммуникационная связь,751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
980640000093,"АО ""БАНК ЦЕНТРКРЕДИТ""",64191,"Деятельность банков, вексельных контор",751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
980640000182,"ТОО ""РАМСТОР КАЗАХСТАН""",47191,Прочая розничная торговля в неспециализированных магазинах,751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
980941004042,"Филиал АО ""ВОЕНИЗИРОВАННАЯ ЖЕЛЕЗНОДОРОЖНАЯ ОХРАНА"" В ГОРОДЕ АЛМАТЫ",80100,Деятельность частных охранных служб,751910000,"г. Алматы, ТУРКСИБСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
990140001154,"Республиканское государственное предприятие на праве хозяйственного ведения ""КАЗАХСКИЙ НАЦИОНАЛЬНЫЙ УНИВЕРСИТЕТ ИМЕНИ АЛЬ-ФАРАБИ"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
990240000239,"Государственное коммунальное предприятие на праве хозяйственного ведения ""СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА АЛМАТЫ",86900,Прочая деятельность по охране здоровья,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
990240002502,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №7"" НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА АЛМАТЫ",86101,Деятельность больниц широкого профиля и специализированных больниц,751310000,"г. Алматы, АУЭЗОВСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
990240002959,"Государственное коммунальное предприятие на праве хозяйственного ведения ""ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА АЛМАТЫ",86101,Деятельность больниц широкого профиля и специализированных больниц,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
990240005120,"Республиканское государственное предприятие на праве хозяйственного ведения ""КАЗАХСКИЙ НАЦИОНАЛЬНЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ К.И. САТПАЕВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
