BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
061040003532,"ТОО ""КАЗАХСКИЙ ГАЗОПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД""",35210,Производство газообразного топлива,471810000,г. Жанаозен,311,Крупное предприятие (от 1001 чел.)
120240020997,"АО ""ОЗЕНМУНАЙГАЗ""",06100,Добыча сырой нефти и попутного газа,471810000,г. Жанаозен,311,Крупная компания (от 1001 чел.)
950540000524,"АО ""КАРАЖАНБАСМУНАЙ""",06100,Добыча сырой нефти и попутного газа,471010000,г. Актау,311,Крупное предприятие (от 1001 чел.)
971040000706,"ТОО ""БУРГЫЛАУ""",09100,Техническая поддержка при добыче нефти и природного газа,471810000,г. Жанаозен,311,Крупное предприятие (от 1001 чел.)
990140000483,"АО ""МАНГИСТАУМУНАЙГАЗ""",06100,Добыча сырой нефти и попутного газа,471010000,г. Актау,311,Крупная компания (от 1001 чел.)
БИН,Наименование организации,ОКЭД,Отрасль деятельности,КАТО,Населённый пункт,КРП,Размер организации / компании
000540004446,"ТОО ""КАСПИЙ АЗИЯ СЕРВИС КОМПАНИ""",09100,Техническая поддержка при добыче нефти и природного газа,473639100,с. Боранкул,310,Крупная организация (501 - 1000 чел.)
010341002291,"МАНГИСТАУСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SEMSER SECURITY""",80100,Деятельность частных охранных служб,471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
011040001498,"ТОО ""ТУЛПАР МУНАЙ СЕРВИС""",09100,Техническая поддержка при добыче нефти и природного газа,471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
030240001703,"ТОО ""МУНАЙФИЛДСЕРВИС""",09100,Техническая поддержка при добыче нефти и природного газа,471810000,г. Жанаозен,310,Крупная организация (501 - 1000 чел.)
030340000622,"ТОО ""KEPPEL KAZAKHSTAN"" (КЕПЛ КАЗАХСТАН)",25111,Производство строительных стальных конструкций,471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
030340001806,"АО ""МОРСКАЯ НЕФТЯНАЯ КОМПАНИЯ ""КАЗМУНАЙТЕНИЗ""",71121,Деятельность в области инженерных изысканий и предоставление технических консультаций в этой области,471010000,г. Актау,310,Крупная компания (501 - 1000 чел.)
031241006811,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""ЛОКОМОТИВ""- МАНГИСТАУСКОЕ ЭКСПЛУАТАЦИОННОЕ ЛОКОМОТИВНОЕ ДЕПО""",52211,Эксплуатация железных дорог,475030100,с. Мангистау,310,Крупная организация (501 - 1000 чел.)
041241001357,"ФИЛИАЛ КОМПАНИИ ""BUZACHI OPERATING LTD"" (БУЗАЧИ ОПЕРЕЙТИНГ ЛТД)",71122,Деятельность по проведению геологической разведки и изысканий (без научных исследований и разработок),471010000,г. Актау,310,Крупная компания (501 - 1000 чел.)
050841004293,"ЖанаозенСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SEMSER SECURITY""",80100,Деятельность частных охранных служб,471810000,г. Жанаозен,310,Крупная организация (501 - 1000 чел.)
051140001409,"ТОО ""КАЗАЗОТ""",20151,Производство удобрений,471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
070140003228,"ТОО ""ЮГО-ВОСТОЧНАЯ СЕРВИСНАЯ ГРУППА""",09100,Техническая поддержка при добыче нефти и природного газа,471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
070841010251,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ""-""МАНГИСТАУСКОЕ ОТДЕЛЕНИЕ ДОРОГИ""",52211,Эксплуатация железных дорог,475030100,с. Мангистау,310,Крупная организация (501 - 1000 чел.)
080541004149,"ФИЛИАЛ ТОО ""KMG EP-CATERING"" В ГОРОДЕ Жанаозен",56290,Прочие виды организации питания,471810000,г. Жанаозен,310,Крупная компания (501 - 1000 чел.)
081040007142,"ГОС. УЧРЕЖДЕНИЕ ""СЛУЖБА ПОЖАРОТУШЕНИЯ И АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ"" ДЕПАРТАМЕНТА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ МАНГИСТАУСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ РЕСПУБЛИКИ КАЗАХСТАН""",84250,Деятельность по обеспечению безопасности в чрезвычайных ситуациях,471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
081141004731,"ФИЛИАЛ ""УПРАВЛЕНИЕ МАГИСТРАЛЬНЫХ ГАЗОПРОВОДОВ ""Актау"" АКЦИОНЕРНОГО ОБЩЕСТВА ""ИНТЕРГАЗ ЦЕНТРАЛЬНАЯ АЗИЯ""",49500,Транспортирование по трубопроводу,471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
090740008918,"ГОС. УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ ГОРОДА Актау ДЕПАРТАМЕНТА ВНУТРЕННИХ ДЕЛ МАНГИСТАУСКОЙ ОБЛАСТИ""",84240,Деятельность по обеспечению общественного порядка и безопасности,471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
100841001617,"ФИЛИАЛ АО ""МОРСКАЯ НЕФТЯНАЯ КОМПАНИЯ ""КАЗМУНАЙТЕНИЗ"" В Актау",06100,Добыча сырой нефти и попутного газа,471010000,г. Актау,310,Крупная компания (501 - 1000 чел.)
120140006721,"ТОО ""УПРАВЛЕНИЕ ТЕХНОЛОГИЧЕСКОГО ТРАНСПОРТА И ОБСЛУЖИВАНИЯ СКВАЖИН""",09100,Техническая поддержка при добыче нефти и природного газа,471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
121241019426,"""ЕР САЙ КАСПИАН КОНТРАКТОР ФИЛИАЛ""",43999,"Прочие строительные работы, требующие специальных профессий",474230100,с. Курык,310,Крупная организация (501 - 1000 чел.)
140841024267,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""УКРУПНЕННАЯ МАНГИСТАУСКАЯ ДИСТАНЦИЯ ПУТИ""",52211,Эксплуатация железных дорог,475030100,с. Мангистау,310,Крупная компания (501 - 1000 чел.)
860440000041,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""МАНГИСТАУСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ МАНГИСТАУСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,474630100,с. Шепте,310,Крупная организация (501 - 1000 чел.)
920440000302,"АО ""МАНГИСТАУСКАЯ РАСПРЕДЕЛИТЕЛЬНАЯ ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""",35130,Распределение электроэнергии,471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
920940000826,"ТОО ""КЕЗБИ""",09100,Техническая поддержка при добыче нефти и природного газа,471810000,г. Жанаозен,310,Крупная организация (501 - 1000 чел.)
