BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
080940019027,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ПОЖАРОТУШЕНИЯ И АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ"" ДЕПАРТАМЕНТА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ КАРАГАНДИНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ РЕСПУБЛИКИ КАЗАХСТАН",84250,Деятельность по обеспечению безопасности в чрезвычайных ситуациях,351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
081140015375,"ТОО ""КАРАГАНДА ЭНЕРГОЦЕНТР""",35111,Производство электроэнергии тепловыми электростанциями,351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
090140004587,"ТОО ""COMMON MARKET CORPORATION""",46909,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,351011100,"г. Караганда, Октябрьский р-н",311,Крупная организация (от 1001 чел.)
090240011256,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ ГОРОДА КАРАГАНДЫ ДЕПАРТАМЕНТА ВНУТРЕННИХ ДЕЛ КАРАГАНДИНСКОЙ ОБЛАСТИ""",84240,Деятельность по обеспечению общественного порядка и безопасности,351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
100440003920,"ТОО ""КАРАГАНДИНСКИЙ ЗАВОД МЕТАЛЛОКОНСТРУКЦИЙ-ИМСТАЛЬКОН""",25111,Производство строительных стальных конструкций,351011100,"г. Караганда, Октябрьский р-н",311,Крупная организация (от 1001 чел.)
101240019863,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""КАНЦЕЛЯРИЯ КАРАГАНДИНСКОГО ОБЛАСТНОГО СУДА ДЕПАРТАМЕНТА ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ СУДОВ ПРИ ВЕРХОВНОМ СУДЕ РЕСПУБЛИКИ КАЗАХСТАН (АППАРАТА ВЕРХОВНОГО СУДА РЕСПУБЛИКИ КАЗАХСТАН)""",84230,Деятельность в области юстиции и правосудия,351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
110140012821,"ТОО ""KAZAKHMYS ENERGY"" (КАЗАХМЫС ЭНЕРДЖИ)",35111,Производство электроэнергии тепловыми электростанциями,353285100,П.ТОПАР,311,Крупная компания (от 1001 чел.)
110340016831,"ТОО ""KM LOGISTIC"" (КМ ЛОГИСТИК)",52291,Транспортно-экспедиционные услуги,351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
110440001807,"ТОО ""KAZAKHMYS SMELTING (КАЗАХМЫС СМЭЛТИНГ)""",24440,Производство меди,351610000,г. Балхаш,311,Крупная компания (от 1001 чел.)
111141001001,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ КАЗАХМЫС"" - РУДНИК ""ЖОМАРТ""",24440,Производство меди,351810000,г. Жезкахган,311,Крупная компания (от 1001 чел.)
